symbol,company,industry,as_of,is_provisional,setup_family,alert_status,priority,alert_priority_score,score_structure,score_rs,score_test_quality,score_readiness,score_market_sector,score_risk_execution,market_gate,sector_breadth_ma20d,price,support_proxy,stop_proxy,breakout_level,breakout_days_ago,visible_t1,rr_to_visible_t1,buy_at_market_gate,adv20,liquidity_gate,extension_vs_ma20d,distance_from_support,extension_risk,reversal_risk,spread_ratio,close_location,volume_pace_proxy,ret_20d,ret_60d,rs_20d_vs_vnindex,rs_60d_vs_vnindex,rs_20d_vs_sector,rs_60d_vs_sector,down_market_defense_proxy,weekly_ret_12w,weekly_ret_26w,evidence,counter_evidence,method_status,method_note,transition_from,transition_reason
SBG,CTCP Tập đoàn Cơ khí Công nghệ cao Siba,"SX Thiết bị, máy móc",2026-09-25,True,LPS_CANDIDATE,TRIGGERED_PROVISIONAL,P2,81,25,16,20,10,4,6,FAIL,1.0,14.1,13.55,13.48225,,,14.55,0.7284500202347255,FAIL_RR,305525.0,PASS,0.010752688172043223,0.040590405904058935,LOW,LOW,0.6666666666666683,0.7999999999999972,0.8589573894008045,0.010714285714285676,0.16942148760330578,0.018367546596003925,0.21248417864413127,-0.001859351988217961,0.10934842496107317,0.01099589454125558,0.19409282700421948,0.4724245577523414,Weekly trend/position supportive | RS20 > VNINDEX | Holds better on VNINDEX down-days | Recent spread contraction | Higher-support pullback / LPS-like test,Latest bar is provisional; intraday signal only | Market Gate = FAIL | R:R to visible T1 < 1.5R,ALGO_CANDIDATE_ONLY,Scanner output cannot CONFIRM LPS/BUEC/Spring/JAC/Phase. Method-Locked review and Action-Test/follow-through remain required.,READY,STATE_UPGRADE_OR_MATERIAL_SCORE_CHANGE
BCE,CTCP Xây dựng và Giao thông Bình Dương,Bất động sản,2026-09-25,True,SPRING_TEST_CANDIDATE,WATCH,P3,62,15,14,20,5,0,8,FAIL,0.15,5.56,5.44,5.412800000000001,,,8.4,19.293478260869716,FAIL_MARKET,29305.0,CAUTION,0.0005398596364944996,0.022058823529411686,LOW,LOW,0.342857142857141,1.0,0.39230769230769236,-0.005357142857142727,-0.33690476190476193,0.002296118024575522,-0.29384207086393643,0.06603099730458234,-0.16966286432592392,0.005098584860974342,-0.3207317073170731,-0.40300107181136113,RS20 > VNINDEX | RS20 > sector median | Holds better on VNINDEX down-days | Recent spread contraction | Recent volume contraction | Spring/Test sequence proxy present,Latest bar is provisional; intraday signal only | Market Gate = FAIL | ADV20 liquidity caution,ALGO_CANDIDATE_ONLY,Scanner output cannot CONFIRM LPS/BUEC/Spring/JAC/Phase. Method-Locked review and Action-Test/follow-through remain required.,,STATE_UPGRADE_OR_MATERIAL_SCORE_CHANGE
BSR,CTCP - Tổng Công ty Lọc hóa dầu Việt Nam,SX Phụ trợ,2026-09-25,True,REACCUMULATION_LEADERSHIP_WATCH,WATCH,P3,57,25,20,0,4,0,8,FAIL,0.42105263157894735,30.45,29.8,29.651,30.45,6.0,31.8,1.6896120150187763,FAIL_MARKET,12490480.0,PASS,0.06795265234546255,0.021812080536912637,MEDIUM,LOW,1.2777777777777757,0.34782608695652095,1.1396402795592326,0.0948905109489051,0.24326564442602572,0.10254377183062335,0.2863283354668512,0.11262100740280578,0.28478813577550666,0.0075984382777264155,0.22850122850122845,0.09930377427629167,Weekly trend/position supportive | RS20 > VNINDEX | RS20 > sector median | Holds better on VNINDEX down-days | Recent volume contraction,Latest bar is provisional; intraday signal only | Market Gate = FAIL,ALGO_CANDIDATE_ONLY,Scanner output cannot CONFIRM LPS/BUEC/Spring/JAC/Phase. Method-Locked review and Action-Test/follow-through remain required.,,STATE_UPGRADE_OR_MATERIAL_SCORE_CHANGE
